date,eu,euf,neuf
Sheffield,925,11,64
Manchester,835,63,112
Hull,945,48,27
Bradford,915,35,33
Zaventem,816,184,43
Wetteren,976,24,43
Kutna Hora,978,8,14
Podebrady,954,15,30
Brandys nad Labem,954,15,30
Bzenec,981,6,13
Faxe,972,10,18
Faaborg-Midfyn,973,13,14
Tampere,958,12,30
Oulu,986,8,6
Paris,850,45,105
Lyon,910,23,67
Pau,945,27,28
Aachen,834,53,113
Bonn,850,49,101
Düsseldorf,817,73,110
Berlin,859,49,92
Munich,758,104,138
Nürnberg,830,64,106,75
Schleswig-Holstein,953,17,30
Baveria,913,35,52
Limburg,955,27,18
Lisbon,937,14,49
Madrid,845,39,116
Gävleborg,959,41,88
Vasterbotten,967,33,80
Warsaw,993,7,39
Lublin,998,2,112
